id_eess,codigo_renaes,categoria,nombre,diresa,red,extra,direccion,longitud,latitud,id_ubigeo
9066,9364,I-1,OLIVOS REAL DENTAL CARE,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,JIRÓN JR. UCAYALI 109-201 SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA,-77.08315394,-12.075648,1316
9093,9391,I-1,CONSULTORIO ODONTOLOGICA AVANZADA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. PETIT THOUARS 2855 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0321569,-12.0917972,1311
9304,9602,I-3,MEDEX,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. REPUBLICA DE PANAMA 3065 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.020413,-12.093721,1311
9319,9617,SD,PETSCAN PERU - CAMNSA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. PETIT THOUARS 4340 AV. PETIT THOUARS 4340 MIRAFLORES LIMA LIMA,-77.0301856,-12.1058305,1302
9322,9620,II-E,MEDICINA AVANZADA S.A.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AV. GREGORIO ESCOBEDO 560,-77.0555183,-12.0853641,1293
9547,9845,I-3,ONCOSALUD,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. PASEO DE LA REPUBLICA Nº 3650-3658 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.02750481,-12.10127865,1311
9754,10052,SD,BRAZZINI RADIOLOGOS ASOCIADOS,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. JORGE BASADRE 223 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.03426934,-12.09289011,1311
9846,10145,SD,CENTRO MEDICO JESUS MARIA,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AV. TALARA N° 560 1ER Y 2DO PISO DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA,-77.053568,-12.0502081,1293
9867,10166,SD,DPI DEL PERU S.A.,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA AVENIDA DOS DE MAYO Nº 649, 1ER PISO DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0384898,-12.09134797,1311
9987,10288,I-2,CENTRO DETECTOR DEL CANCER SAC,LIMA DIRIS CENTRO,NO PERTENECE A NINGUNA RED,AVENIDA PRADO ESTE, JAVIER N° 1010 INT 304 DISTRITO SAN ISIDRO PROVINCIA LIMA DEPARTAMENTO LIMA,-77.0188916,-12.0903631,1311
